"Quantity","Error","Model","Mediators","Distance","Type"
"XD",0.566666666666667,"Llama 3.1",3,2,"Local"
"CY",1.42028985507246,"Llama 3.1",3,2,"Local"
"DY",1.06392694063927,"Llama 3.1",2,1,"Local"
"CD",0.430485762144054,"Llama 3.1",0,1,"Local"
"XY",6.51851851851852,"Llama 3.1",6,3,"Global"
"XC",0.0857142857142857,"Llama 3.1",2,1,"Local"
"XD",0.6,"Llama 3.1",3,2,"Local"
"CY",1.41304347826087,"Llama 3.1",3,2,"Local"
"DY",0.958904109589041,"Llama 3.1",2,1,"Local"
"CD",0.430485762144054,"Llama 3.1",0,1,"Local"
"XY",6.88888888888889,"Llama 3.1",6,3,"Global"
"XC",0.0714285714285714,"Llama 3.1",2,1,"Local"
"XD",0.583333333333333,"Llama 3.1",3,2,"Local"
"CY",1.42028985507246,"Llama 3.1",3,2,"Local"
"DY",1.07305936073059,"Llama 3.1",2,1,"Local"
"CD",0.415410385259632,"Llama 3.1",0,1,"Local"
"XY",6.59259259259259,"Llama 3.1",6,3,"Global"
"XC",0.0619047619047618,"Llama 3.1",2,1,"Local"
"XD",0.6,"Llama 3.1",3,2,"Local"
"CY",1.36231884057971,"Llama 3.1",3,2,"Local"
"DY",0.968036529680365,"Llama 3.1",2,1,"Local"
"CD",0.442211055276382,"Llama 3.1",0,1,"Local"
"XY",6.40740740740741,"Llama 3.1",6,3,"Global"
"XC",0.114285714285714,"Llama 3.1",2,1,"Local"
"XD",0.483333333333333,"Llama 3.1",3,2,"Local"
"CY",1.29710144927536,"Llama 3.1",3,2,"Local"
"DY",1.06849315068493,"Llama 3.1",2,1,"Local"
"CD",0.470686767169179,"Llama 3.1",0,1,"Local"
"XY",7.2962962962963,"Llama 3.1",6,3,"Global"
"XC",0.0476190476190475,"Llama 3.1",2,1,"Local"
"XD",0.616666666666667,"Llama 3.1",3,2,"Local"
"CY",1.45652173913043,"Llama 3.1",3,2,"Local"
"DY",1.04109589041096,"Llama 3.1",2,1,"Local"
"CD",0.4321608040201,"Llama 3.1",0,1,"Local"
"XY",6.88888888888889,"Llama 3.1",6,3,"Global"
"XC",0.0857142857142857,"Llama 3.1",2,1,"Local"
"XD",0.591666666666667,"Llama 3.1",3,2,"Local"
"CY",1.56521739130435,"Llama 3.1",3,2,"Local"
"DY",1.02283105022831,"Llama 3.1",2,1,"Local"
"CD",0.355108877721943,"Llama 3.1",0,1,"Local"
"XY",6.51851851851852,"Llama 3.1",6,3,"Global"
"XC",0.0714285714285714,"Llama 3.1",2,1,"Local"
"XD",0.608333333333333,"Llama 3.1",3,2,"Local"
"CY",1.33333333333333,"Llama 3.1",3,2,"Local"
"DY",1.02739726027397,"Llama 3.1",2,1,"Local"
"CD",0.410385259631491,"Llama 3.1",0,1,"Local"
"XY",6.74074074074074,"Llama 3.1",6,3,"Global"
"XC",0.038095238095238,"Llama 3.1",2,1,"Local"
"XD",0.625,"Llama 3.1",3,2,"Local"
"CY",1.44927536231884,"Llama 3.1",3,2,"Local"
"DY",1.02283105022831,"Llama 3.1",2,1,"Local"
"CD",0.435510887772194,"Llama 3.1",0,1,"Local"
"XY",6.62962962962963,"Llama 3.1",6,3,"Global"
"XC",0.171428571428571,"Llama 3.1",2,1,"Local"
"XD",0.716666666666667,"Llama 3.1",3,2,"Local"
"CY",1.39855072463768,"Llama 3.1",3,2,"Local"
"DY",1,"Llama 3.1",2,1,"Local"
"CD",0.40536013400335,"Llama 3.1",0,1,"Local"
"XY",6.77777777777778,"Llama 3.1",6,3,"Global"
"XC",0.0809523809523809,"Llama 3.1",2,1,"Local"
"XD",0.633333333333333,"Llama 3.1",3,2,"Local"
"CY",1.50724637681159,"Llama 3.1",3,2,"Local"
"DY",1.05936073059361,"Llama 3.1",2,1,"Local"
"CD",0.418760469011725,"Llama 3.1",0,1,"Local"
"XY",6.92592592592593,"Llama 3.1",6,3,"Global"
"XC",0.0714285714285714,"Llama 3.1",2,1,"Local"
"XD",0.45,"Llama 3.1",3,2,"Local"
"CY",1.35507246376812,"Llama 3.1",3,2,"Local"
"DY",1.07762557077626,"Llama 3.1",2,1,"Local"
"CD",0.42713567839196,"Llama 3.1",0,1,"Local"
"XY",6.33333333333333,"Llama 3.1",6,3,"Global"
"XC",0.123809523809524,"Llama 3.1",2,1,"Local"
"XD",0.541666666666667,"Llama 3.1",3,2,"Local"
"CY",1.3695652173913,"Llama 3.1",3,2,"Local"
"DY",0.981735159817352,"Llama 3.1",2,1,"Local"
"CD",0.440536013400335,"Llama 3.1",0,1,"Local"
"XY",6.66666666666667,"Llama 3.1",6,3,"Global"
"XC",0.0523809523809523,"Llama 3.1",2,1,"Local"
"XD",0.6,"Llama 3.1",3,2,"Local"
"CY",1.47101449275362,"Llama 3.1",3,2,"Local"
"DY",1.03196347031963,"Llama 3.1",2,1,"Local"
"CD",0.433835845896147,"Llama 3.1",0,1,"Local"
"XY",6.96296296296296,"Llama 3.1",6,3,"Global"
"XC",0.119047619047619,"Llama 3.1",2,1,"Local"
"XD",0.55,"Llama 3.1",3,2,"Local"
"CY",1.33333333333333,"Llama 3.1",3,2,"Local"
"DY",0.995433789954338,"Llama 3.1",2,1,"Local"
"CD",0.422110552763819,"Llama 3.1",0,1,"Local"
"XY",6.33333333333333,"Llama 3.1",6,3,"Global"
"XC",0.1,"Llama 3.1",2,1,"Local"
"XD",0.658333333333333,"Llama 3.1",3,2,"Local"
"CY",1.36231884057971,"Llama 3.1",3,2,"Local"
"DY",1.12785388127854,"Llama 3.1",2,1,"Local"
"CD",0.442211055276382,"Llama 3.1",0,1,"Local"
"XY",5.88888888888889,"Llama 3.1",6,3,"Global"
"XC",0.1,"Llama 3.1",2,1,"Local"
"XD",0.591666666666667,"Llama 3.1",3,2,"Local"
"CY",1.42753623188406,"Llama 3.1",3,2,"Local"
"DY",1.10502283105023,"Llama 3.1",2,1,"Local"
"CD",0.393634840871022,"Llama 3.1",0,1,"Local"
"XY",6.51851851851852,"Llama 3.1",6,3,"Global"
"XC",0.0428571428571428,"Llama 3.1",2,1,"Local"
"XD",0.566666666666667,"Llama 3.1",3,2,"Local"
"CY",1.32608695652174,"Llama 3.1",3,2,"Local"
"DY",1.03196347031963,"Llama 3.1",2,1,"Local"
"CD",0.448911222780569,"Llama 3.1",0,1,"Local"
"XY",6.51851851851852,"Llama 3.1",6,3,"Global"
"XC",0.133333333333333,"Llama 3.1",2,1,"Local"
"XD",0.475,"Llama 3.1",3,2,"Local"
"CY",1.2463768115942,"Llama 3.1",3,2,"Local"
"DY",0.926940639269406,"Llama 3.1",2,1,"Local"
"CD",0.455611390284757,"Llama 3.1",0,1,"Local"
"XY",6.59259259259259,"Llama 3.1",6,3,"Global"
"XC",0.0904761904761904,"Llama 3.1",2,1,"Local"
"XD",0.541666666666667,"Llama 3.1",3,2,"Local"
"CY",1.39130434782609,"Llama 3.1",3,2,"Local"
"DY",1.04109589041096,"Llama 3.1",2,1,"Local"
"CD",0.442211055276382,"Llama 3.1",0,1,"Local"
"XY",7.14814814814815,"Llama 3.1",6,3,"Global"
"XC",0.0619047619047618,"Llama 3.1",2,1,"Local"
"XD",0.566666666666667,"Llama 3.1",3,2,"Local"
"CY",1.52173913043478,"Llama 3.1",3,2,"Local"
"DY",1.14155251141552,"Llama 3.1",2,1,"Local"
"CD",0.438860971524288,"Llama 3.1",0,1,"Local"
"XY",7.25925925925926,"Llama 3.1",6,3,"Global"
"XC",0.0904761904761904,"Llama 3.1",2,1,"Local"
"XD",0.558333333333333,"Llama 3.1",3,2,"Local"
"CY",1.38405797101449,"Llama 3.1",3,2,"Local"
"DY",1.10958904109589,"Llama 3.1",2,1,"Local"
"CD",0.447236180904523,"Llama 3.1",0,1,"Local"
"XY",6.22222222222222,"Llama 3.1",6,3,"Global"
"XC",0.142857142857143,"Llama 3.1",2,1,"Local"
"XD",0.533333333333333,"Llama 3.1",3,2,"Local"
"CY",1.42753623188406,"Llama 3.1",3,2,"Local"
"DY",1.00456621004566,"Llama 3.1",2,1,"Local"
"CD",0.437185929648241,"Llama 3.1",0,1,"Local"
"XY",6.51851851851852,"Llama 3.1",6,3,"Global"
"XC",0.0761904761904761,"Llama 3.1",2,1,"Local"
"XD",0.525,"Llama 3.1",3,2,"Local"
"CY",1.2463768115942,"Llama 3.1",3,2,"Local"
"DY",1.05479452054795,"Llama 3.1",2,1,"Local"
"CD",0.45393634840871,"Llama 3.1",0,1,"Local"
"XY",6.48148148148148,"Llama 3.1",6,3,"Global"
"XC",0.0761904761904761,"Llama 3.1",2,1,"Local"
"XD",0.583333333333333,"Llama 3.1",3,2,"Local"
"CY",1.40579710144928,"Llama 3.1",3,2,"Local"
"DY",1.05479452054795,"Llama 3.1",2,1,"Local"
"CD",0.430485762144054,"Llama 3.1",0,1,"Local"
"XY",6.81481481481481,"Llama 3.1",6,3,"Global"
"XC",0.0190476190476191,"Llama 3.1",2,1,"Local"
"XD",0.625,"Llama 3.1",3,2,"Local"
"CY",1.55797101449275,"Llama 3.1",3,2,"Local"
"DY",1.12328767123288,"Llama 3.1",2,1,"Local"
"CD",0.455611390284757,"Llama 3.1",0,1,"Local"
"XY",6,"Llama 3.1",6,3,"Global"
"XC",0.0619047619047618,"Llama 3.1",2,1,"Local"
"XD",0.491666666666667,"Llama 3.1",3,2,"Local"
"CY",1.27536231884058,"Llama 3.1",3,2,"Local"
"DY",1.05022831050228,"Llama 3.1",2,1,"Local"
"CD",0.433835845896147,"Llama 3.1",0,1,"Local"
"XY",6.66666666666667,"Llama 3.1",6,3,"Global"
"XC",0.147619047619048,"Llama 3.1",2,1,"Local"
"XD",0.391666666666667,"Llama 3.1",3,2,"Local"
"CY",1.23913043478261,"Llama 3.1",3,2,"Local"
"DY",1.01826484018265,"Llama 3.1",2,1,"Local"
"CD",0.437185929648241,"Llama 3.1",0,1,"Local"
"XY",6.74074074074074,"Llama 3.1",6,3,"Global"
"XC",0.0857142857142857,"Llama 3.1",2,1,"Local"
"XD",0.55,"Llama 3.1",3,2,"Local"
"CY",1.6304347826087,"Llama 3.1",3,2,"Local"
"DY",1.1324200913242,"Llama 3.1",2,1,"Local"
"CD",0.402010050251256,"Llama 3.1",0,1,"Local"
"XY",6.11111111111111,"Llama 3.1",6,3,"Global"
"XC",0.161904761904762,"Llama 3.1",2,1,"Local"
"XD",0.491666666666667,"Llama 3.1",3,2,"Local"
"CY",1.43478260869565,"Llama 3.1",3,2,"Local"
"DY",1.05936073059361,"Llama 3.1",2,1,"Local"
"CD",0.440536013400335,"Llama 3.1",0,1,"Local"
"XY",5.59259259259259,"Llama 3.1",6,3,"Global"
"XC",0.142857142857143,"Llama 3.1",2,1,"Local"
"XD",0.666666666666667,"Llama 3.1",3,2,"Local"
"CY",1.21014492753623,"Llama 3.1",3,2,"Local"
"DY",1.02739726027397,"Llama 3.1",2,1,"Local"
"CD",0.403685092127303,"Llama 3.1",0,1,"Local"
"XY",6.18518518518519,"Llama 3.1",6,3,"Global"
"XC",0.128571428571429,"Llama 3.1",2,1,"Local"
"XD",0.425,"Llama 3.1",3,2,"Local"
"CY",1.45652173913043,"Llama 3.1",3,2,"Local"
"DY",1.07762557077626,"Llama 3.1",2,1,"Local"
"CD",0.428810720268007,"Llama 3.1",0,1,"Local"
"XY",6.81481481481481,"Llama 3.1",6,3,"Global"
"XC",0.0666666666666666,"Llama 3.1",2,1,"Local"
"XD",0.683333333333333,"Llama 3.1",3,2,"Local"
"CY",1.5,"Llama 3.1",3,2,"Local"
"DY",1.02739726027397,"Llama 3.1",2,1,"Local"
"CD",0.417085427135678,"Llama 3.1",0,1,"Local"
"XY",6.11111111111111,"Llama 3.1",6,3,"Global"
"XC",0.0714285714285714,"Llama 3.1",2,1,"Local"
"XD",0.566666666666667,"Llama 3.1",3,2,"Local"
"CY",1.42028985507246,"Llama 3.1",3,2,"Local"
"DY",1.12785388127854,"Llama 3.1",2,1,"Local"
"CD",0.435510887772194,"Llama 3.1",0,1,"Local"
"XY",6.18518518518519,"Llama 3.1",6,3,"Global"
"XC",0.0476190476190475,"Llama 3.1",2,1,"Local"
"XD",0.45,"Llama 3.1",3,2,"Local"
"CY",1.41304347826087,"Llama 3.1",3,2,"Local"
"DY",1.07305936073059,"Llama 3.1",2,1,"Local"
"CD",0.407035175879397,"Llama 3.1",0,1,"Local"
"XY",6.81481481481481,"Llama 3.1",6,3,"Global"
"XC",0.0714285714285714,"Llama 3.1",2,1,"Local"
"XD",0.541666666666667,"Llama 3.1",3,2,"Local"
"CY",1.39855072463768,"Llama 3.1",3,2,"Local"
"DY",1.09132420091324,"Llama 3.1",2,1,"Local"
"CD",0.391959798994975,"Llama 3.1",0,1,"Local"
"XY",6.62962962962963,"Llama 3.1",6,3,"Global"
"XC",0.0285714285714286,"Llama 3.1",2,1,"Local"
"XD",0.75,"Llama 3.1",3,2,"Local"
"CY",1.39855072463768,"Llama 3.1",3,2,"Local"
"DY",1.05479452054795,"Llama 3.1",2,1,"Local"
"CD",0.445561139028476,"Llama 3.1",0,1,"Local"
"XY",7,"Llama 3.1",6,3,"Global"
"XC",0.185714285714286,"Llama 3.1",2,1,"Local"
"XD",0.558333333333333,"Llama 3.1",3,2,"Local"
"CY",1.58695652173913,"Llama 3.1",3,2,"Local"
"DY",1.09132420091324,"Llama 3.1",2,1,"Local"
"CD",0.443886097152429,"Llama 3.1",0,1,"Local"
"XY",6.55555555555556,"Llama 3.1",6,3,"Global"
"XC",0.133333333333333,"Llama 3.1",2,1,"Local"
"XD",0.533333333333333,"Llama 3.1",3,2,"Local"
"CY",1.49275362318841,"Llama 3.1",3,2,"Local"
"DY",1.11415525114155,"Llama 3.1",2,1,"Local"
"CD",0.452261306532663,"Llama 3.1",0,1,"Local"
"XY",6.62962962962963,"Llama 3.1",6,3,"Global"
"XC",0.0571428571428571,"Llama 3.1",2,1,"Local"
"XD",0.525,"Llama 3.1",3,2,"Local"
"CY",1.23913043478261,"Llama 3.1",3,2,"Local"
"DY",0.972602739726027,"Llama 3.1",2,1,"Local"
"CD",0.437185929648241,"Llama 3.1",0,1,"Local"
"XY",6.92592592592593,"Llama 3.1",6,3,"Global"
"XC",0.0904761904761904,"Llama 3.1",2,1,"Local"
"XD",0.633333333333333,"Llama 3.1",3,2,"Local"
"CY",1.46376811594203,"Llama 3.1",3,2,"Local"
"DY",1.10045662100457,"Llama 3.1",2,1,"Local"
"CD",0.412060301507538,"Llama 3.1",0,1,"Local"
"XY",6.18518518518519,"Llama 3.1",6,3,"Global"
"XC",0.0571428571428571,"Llama 3.1",2,1,"Local"
"XD",0.575,"Llama 3.1",3,2,"Local"
"CY",1.39130434782609,"Llama 3.1",3,2,"Local"
"DY",1.06849315068493,"Llama 3.1",2,1,"Local"
"CD",0.413735343383585,"Llama 3.1",0,1,"Local"
"XY",6.96296296296296,"Llama 3.1",6,3,"Global"
"XC",0.114285714285714,"Llama 3.1",2,1,"Local"
"XD",0.491666666666667,"Llama 3.1",3,2,"Local"
"CY",1.47101449275362,"Llama 3.1",3,2,"Local"
"DY",1.01826484018265,"Llama 3.1",2,1,"Local"
"CD",0.417085427135678,"Llama 3.1",0,1,"Local"
"XY",6.37037037037037,"Llama 3.1",6,3,"Global"
"XC",0.10952380952381,"Llama 3.1",2,1,"Local"
"XD",0.658333333333333,"Llama 3.1",3,2,"Local"
"CY",1.41304347826087,"Llama 3.1",3,2,"Local"
"DY",1,"Llama 3.1",2,1,"Local"
"CD",0.442211055276382,"Llama 3.1",0,1,"Local"
"XY",6.88888888888889,"Llama 3.1",6,3,"Global"
"XC",0.0809523809523809,"Llama 3.1",2,1,"Local"
"XD",0.516666666666667,"Llama 3.1",3,2,"Local"
"CY",1.42028985507246,"Llama 3.1",3,2,"Local"
"DY",1.04566210045662,"Llama 3.1",2,1,"Local"
"CD",0.425460636515913,"Llama 3.1",0,1,"Local"
"XY",6.88888888888889,"Llama 3.1",6,3,"Global"
"XC",0.147619047619048,"Llama 3.1",2,1,"Local"
"XD",0.575,"Llama 3.1",3,2,"Local"
"CY",1.41304347826087,"Llama 3.1",3,2,"Local"
"DY",1.08219178082192,"Llama 3.1",2,1,"Local"
"CD",0.442211055276382,"Llama 3.1",0,1,"Local"
"XY",6.96296296296296,"Llama 3.1",6,3,"Global"
"XC",0,"Llama 3.1",2,1,"Local"
"XD",0.633333333333333,"Llama 3.1",3,2,"Local"
"CY",1.50724637681159,"Llama 3.1",3,2,"Local"
"DY",1.02739726027397,"Llama 3.1",2,1,"Local"
"CD",0.435510887772194,"Llama 3.1",0,1,"Local"
"XY",6.62962962962963,"Llama 3.1",6,3,"Global"
"XC",0.0952380952380952,"Llama 3.1",2,1,"Local"
"XD",0.6,"Llama 3.1",3,2,"Local"
"CY",1.42028985507246,"Llama 3.1",3,2,"Local"
"DY",1.08219178082192,"Llama 3.1",2,1,"Local"
"CD",0.407035175879397,"Llama 3.1",0,1,"Local"
"XY",7.03703703703704,"Llama 3.1",6,3,"Global"
"XC",0.138095238095238,"Llama 3.1",2,1,"Local"
"XD",0.625,"Llama 3.1",3,2,"Local"
"CY",1.48550724637681,"Llama 3.1",3,2,"Local"
"DY",1.10502283105023,"Llama 3.1",2,1,"Local"
"CD",0.403685092127303,"Llama 3.1",0,1,"Local"
"XY",6.14814814814815,"Llama 3.1",6,3,"Global"
"XC",0.152380952380952,"Llama 3.1",2,1,"Local"
"XD",0.666666666666667,"Llama 3.1",3,2,"Local"
"CY",1.44202898550725,"Llama 3.1",3,2,"Local"
"DY",1.08675799086758,"Llama 3.1",2,1,"Local"
"CD",0.415410385259632,"Llama 3.1",0,1,"Local"
"XY",6.62962962962963,"Llama 3.1",6,3,"Global"
"XC",0.104761904761905,"Llama 3.1",2,1,"Local"
"XD",0.641666666666667,"Llama 3.1",3,2,"Local"
"CY",1.31884057971014,"Llama 3.1",3,2,"Local"
"DY",0.972602739726027,"Llama 3.1",2,1,"Local"
"CD",0.455611390284757,"Llama 3.1",0,1,"Local"
"XY",6.66666666666667,"Llama 3.1",6,3,"Global"
"XC",0.0952380952380952,"Llama 3.1",2,1,"Local"
"XD",0.65,"Llama 3.1",3,2,"Local"
"CY",1.34057971014493,"Llama 3.1",3,2,"Local"
"DY",1.05936073059361,"Llama 3.1",2,1,"Local"
"CD",0.428810720268007,"Llama 3.1",0,1,"Local"
"XY",6.62962962962963,"Llama 3.1",6,3,"Global"
"XC",0.128571428571429,"Llama 3.1",2,1,"Local"
"XD",0.716666666666667,"Llama 3.1",3,2,"Local"
"CY",1.42753623188406,"Llama 3.1",3,2,"Local"
"DY",0.986301369863014,"Llama 3.1",2,1,"Local"
"CD",0.40536013400335,"Llama 3.1",0,1,"Local"
"XY",7.07407407407407,"Llama 3.1",6,3,"Global"
"XC",0.0619047619047618,"Llama 3.1",2,1,"Local"
"XD",0.466666666666667,"Llama 3.1",3,2,"Local"
"CY",1.39855072463768,"Llama 3.1",3,2,"Local"
"DY",1.15981735159817,"Llama 3.1",2,1,"Local"
"CD",0.395309882747069,"Llama 3.1",0,1,"Local"
"XY",7.11111111111111,"Llama 3.1",6,3,"Global"
"XC",0.0571428571428571,"Llama 3.1",2,1,"Local"
"XD",0.591666666666667,"Llama 3.1",3,2,"Local"
"CY",1.5,"Llama 3.1",3,2,"Local"
"DY",1.14155251141552,"Llama 3.1",2,1,"Local"
"CD",0.4321608040201,"Llama 3.1",0,1,"Local"
"XY",6.37037037037037,"Llama 3.1",6,3,"Global"
"XC",0.0857142857142857,"Llama 3.1",2,1,"Local"
"XD",0.683333333333333,"Llama 3.1",3,2,"Local"
"CY",1.43478260869565,"Llama 3.1",3,2,"Local"
"DY",1.13698630136986,"Llama 3.1",2,1,"Local"
"CD",0.375209380234506,"Llama 3.1",0,1,"Local"
"XY",6.44444444444445,"Llama 3.1",6,3,"Global"
"XC",0.123809523809524,"Llama 3.1",2,1,"Local"
"XD",0.55,"Llama 3.1",3,2,"Local"
"CY",1.33333333333333,"Llama 3.1",3,2,"Local"
"DY",1.08675799086758,"Llama 3.1",2,1,"Local"
"CD",0.442211055276382,"Llama 3.1",0,1,"Local"
"XY",6.40740740740741,"Llama 3.1",6,3,"Global"
"XC",0.10952380952381,"Llama 3.1",2,1,"Local"
"XD",0.541666666666667,"Llama 3.1",3,2,"Local"
"CY",1.42028985507246,"Llama 3.1",3,2,"Local"
"DY",1.14155251141552,"Llama 3.1",2,1,"Local"
"CD",0.442211055276382,"Llama 3.1",0,1,"Local"
"XY",6.7037037037037,"Llama 3.1",6,3,"Global"
"XC",0.152380952380952,"Llama 3.1",2,1,"Local"
"XD",0.583333333333333,"Llama 3.1",3,2,"Local"
"CY",1.42753623188406,"Llama 3.1",3,2,"Local"
"DY",1.15068493150685,"Llama 3.1",2,1,"Local"
"CD",0.448911222780569,"Llama 3.1",0,1,"Local"
"XY",5.96296296296296,"Llama 3.1",6,3,"Global"
"XC",0.166666666666667,"Llama 3.1",2,1,"Local"
"XD",0.541666666666667,"Llama 3.1",3,2,"Local"
"CY",1.47826086956522,"Llama 3.1",3,2,"Local"
"DY",1.08219178082192,"Llama 3.1",2,1,"Local"
"CD",0.410385259631491,"Llama 3.1",0,1,"Local"
"XY",6.81481481481481,"Llama 3.1",6,3,"Global"
"XC",0.0571428571428571,"Llama 3.1",2,1,"Local"
"XD",0.658333333333333,"Llama 3.1",3,2,"Local"
"CY",1.30434782608696,"Llama 3.1",3,2,"Local"
"DY",1.10045662100457,"Llama 3.1",2,1,"Local"
